Date,Nitrate concentration,Plate,Mode,Ecotype,Seed number for the specific concentration,Annotation,Annotator,Seed number on the plate ,"Image number
on the plate ",Stitched,reason for unusability of images ,Comment,Split_1,Split_2,Split_3
20240918,N4,1,L,Pu2-23,_001,yes,Roberto Zarazua,000001,000001,no_need,,,testing,testing,testing
20240918,N4,1,L,Pu2-23,_002,yes,Roberto Zarazua,000002,000002,no_need,,,testing,testing,testing
20240918,N4,1,L,Pu2-23,_003,yes,Roberto Zarazua,000003,000003,no_need,,,testing,testing,testing
20240918,N4,1,L,Pu2-23,x,yes,Roberto Zarazua,000004,000004,no_need,5. tangled root hairs/overlap with other root or root hairs,,ignore,ignore,ignore
20240918,N4,1,L,Pu2-23,_004,yes,Roberto Zarazua,000005,000005,no_need,,,testing,testing,training
20240918,N4,1,L,Pu2-23,_005,yes,Roberto Zarazua,000006,000006,no_need,,,testing,testing,training
20240918,N4,1,L,Ws-0,x,yes,Roberto Zarazua,000007,000007,no_need,2. underdeveloped/germling too small,,ignore,ignore,ignore
20240918,N4,1,L,Ws-0,_001,yes,Roberto Zarazua,000008,000008,no_need,,,testing,testing,testing
20240918,N4,1,L,Ws-0,_002,yes,Roberto Zarazua,000009,000009,no_need,,,testing,testing,testing
20240918,N4,1,L,Ws-0,_003,yes,Roberto Zarazua,000010,000010,no_need,,,testing,testing,testing
20240918,N4,1,L,Ws-0,x,yes,Roberto Zarazua,000011,000011,no_need,3. root grew into the agar,,ignore,ignore,ignore
20240918,N4,1,L,Ws-0,x,yes,Roberto Zarazua,000012,000012,no_need,4. dried out root/ root grew in the air,,ignore,ignore,ignore
20240918,N4,1,L,Shahdara,_001,yes,Roberto Zarazua,000013,000013,no_need,,,testing,testing,testing
20240918,N4,1,L,Shahdara,_002,yes,Roberto Zarazua,000014,000014,no_need,,,testing,testing,testing
20240918,N4,1,L,Shahdara,_003,yes,Roberto Zarazua,000015,000015,no_need,,,testing,testing,testing
20240918,N4,1,L,Shahdara,_004,yes,Roberto Zarazua,000016,000016,no_need,,,testing,testing,training
