genotype,instance_precision,instance_recall,instance_f1,pixel_precision,pixel_recall,pixel_f1
Bay-0,0.4426229508196721,0.2288135593220339,0.3016759776536313,0.7235347497095805,0.8001319802107779,0.7599080306317332
Col-0*,0.2857142857142857,0.07860262008733625,0.12328767123287672,0.6895439889451865,0.7592432925901507,0.7227170685784634
Cvi-0,0.4532871972318339,0.19969512195121952,0.27724867724867724,0.7154733182340488,0.8255247855669048,0.7665693502894749
Ge-0,0.41032608695652173,0.21357850070721357,0.2809302325581396,0.7996721859063244,0.733000808171432,0.7648863923439287
Hs-0,0.4076086956521739,0.17123287671232876,0.24115755627009647,0.6593997056709675,0.817631681689328,0.7300401262518139
Kondara,0.5279503105590062,0.27419354838709675,0.36093418259023347,0.6927904020931606,0.8160781292088729,0.7493974240236543
Lip-0,0.41064638783269963,0.19047619047619047,0.26024096385542167,0.8501020413544342,0.6887323281736656,0.7609561752988049
No-0,0.4161290322580645,0.19054652880354506,0.2613981762917933,0.7080795761271619,0.8093322790451074,0.755327770952771
Oy-0,0.47639484978540775,0.23922413793103448,0.31850789096126253,0.6909670415735183,0.7961470583195782,0.7398374846746244
Pu2-23,0.4532871972318339,0.21061093247588425,0.287596048298573,0.7594258113356592,0.7650791677028932,0.7622420072845003
Shahdara,0.5664739884393064,0.28488372093023256,0.37911025145067695,0.7622682275496863,0.773728088379219,0.7679554077283778
St-0,0.5504201680672269,0.2712215320910973,0.3633841886269071,0.668867906460077,0.8233513452343905,0.7381131022705417
Ting-1,0.37261146496815284,0.17889908256880735,0.24173553719008264,0.7514219617814911,0.7769376368317791,0.7639668096169501
Ts-1,0.5077881619937694,0.2884955752212389,0.36794582392776526,0.8300102527457164,0.7702767966553737,0.7990286979018678
Uk-1,0.3333333333333333,0.10764430577223089,0.16273584905660377,0.7220319804663073,0.8217850304170268,0.7686857559498808
Ws-0,0.45,0.18,0.2571428571428572,0.711826146156189,0.7800759814267624,0.7443899560189414
id2-3,0.3841059602649007,0.14609571788413098,0.2116788321167883,0.7169623059866962,0.7604457916329144,0.7380641397938091
pme38-1,0.4918032786885246,0.22959183673469388,0.3130434782608696,0.7206974194142414,0.7692878139435148,0.7442003180749551
TOTAL (micro-avg),0.44750746611532277,0.20732226479352917,0.283366062986399,0.7352480319451103,0.7827574438085515,0.7582592806720769
