genotype,instance_precision,instance_recall,instance_f1,pixel_precision,pixel_recall,pixel_f1
Bay-0,0.5714285714285714,0.535593220338983,0.5529308836395451,0.712176579794609,0.8796177373359165,0.7870905744051581
Col-0*,0.7065637065637066,0.7991266375545851,0.75,0.7238470423232407,0.903171845847005,0.8036271417367459
Cvi-0,0.4788519637462236,0.48323170731707316,0.48103186646433993,0.6932033351482695,0.8799085026987578,0.775476344429381
Ge-0,0.5480480480480481,0.5162659123055162,0.5316824471959213,0.7813271070157798,0.8259827718399859,0.8030346083930511
Hs-0,0.6926713947990544,0.6689497716894978,0.6806039488966318,0.6853643600734843,0.8976543123552712,0.77727481560362
Kondara,0.6065573770491803,0.5370967741935484,0.5697177074422584,0.6884617839363467,0.9005069150070959,0.7803358210454822
Lip-0,0.4564102564102564,0.4708994708994709,0.4635416666666667,0.8315913428127034,0.7615003484954089,0.7950039546533086
No-0,0.39823008849557523,0.3988183161004431,0.3985239852398524,0.6952571643098486,0.8734133833881987,0.7742185420588878
Oy-0,0.627906976744186,0.5818965517241379,0.6040268456375839,0.6819539833767051,0.8916582993021086,0.7728332267270221
Pu2-23,0.6007005253940455,0.5514469453376206,0.5750209555741826,0.7488156520632993,0.8387230209214251,0.791223466236555
Shahdara,0.643646408839779,0.6773255813953488,0.660056657223796,0.7689753698809881,0.8521454051299473,0.8084269083502006
St-0,0.7066666666666667,0.6583850931677019,0.6816720257234726,0.6794439314986763,0.9221582144605541,0.7824100439396234
Ting-1,0.4172876304023845,0.42813455657492355,0.4226415094339622,0.7456332817071072,0.8261903563852467,0.7838475154807416
Ts-1,0.6265938069216758,0.6088495575221239,0.6175942549371634,0.8015835613483483,0.8346989399051725,0.8178061531432508
Uk-1,0.4332784184514003,0.41029641185647425,0.42147435897435903,0.7071069991070096,0.8411356443292546,0.7683200095606783
Ws-0,0.6283987915407855,0.5942857142857143,0.6108663729809104,0.7209761201530749,0.8748650377894189,0.790500730556691
id2-3,0.7382716049382716,0.7531486146095718,0.7456359102244389,0.7309237474481209,0.8791769858922384,0.7982250102641957
pme38-1,0.7246753246753247,0.7117346938775511,0.7181467181467183,0.7362846300402911,0.8872354839620245,0.8047425399087678
TOTAL (micro-avg),0.5670971978984238,0.551404853128991,0.5591409453917547,0.7291913964511156,0.8591129109102849,0.7888384364537395
