genotype,instance_precision,instance_recall,instance_f1,pixel_precision,pixel_recall,pixel_f1
Bay-0,0.5568400770712909,0.48983050847457626,0.521190261496844,0.8273844647975949,0.8120774604394548,0.8196595049107205
Col-0*,0.7430830039525692,0.8209606986899564,0.7800829875518672,0.8885628955227808,0.8352027503308064,0.861056926117167
Cvi-0,0.5034246575342466,0.4481707317073171,0.4741935483870968,0.7912428820644481,0.8217369382098489,0.8062016587131349
Ge-0,0.5905923344947736,0.4794908062234795,0.5292740046838409,0.8622179425122812,0.7501450418101218,0.8022864836569364
Hs-0,0.7706666666666667,0.6598173515981736,0.7109471094710949,0.8147542708240607,0.8364418819111551,0.825455648566439
Kondara,0.6626984126984127,0.5387096774193548,0.594306049822064,0.8043396109083429,0.8208808402717263,0.812526048619257
Lip-0,0.455743879472693,0.42680776014109345,0.44080145719489977,0.9037115783834461,0.6716624050467533,0.7705968215673747
No-0,0.4271186440677966,0.3722304283604136,0.39779005524861877,0.8244235195018126,0.7848229052559228,0.8041359629978763
Oy-0,0.6768447837150128,0.5732758620689655,0.6207701283547259,0.802649855358049,0.8357064072997092,0.8188446459779888
Pu2-23,0.5858778625954199,0.49356913183279744,0.5357766143106458,0.8552405016526036,0.7515747609233187,0.8000635673960974
Shahdara,0.6548672566371682,0.6453488372093024,0.650073206442167,0.8757770154819118,0.7585434299609218,0.8129555046037336
St-0,0.7793764988009593,0.6728778467908902,0.7222222222222222,0.8065259606798112,0.8659937538429694,0.8352026444844679
Ting-1,0.41694915254237286,0.3761467889908257,0.3954983922829582,0.8446551942701401,0.7488164641427267,0.7938537377227405
Ts-1,0.5893617021276596,0.4902654867256637,0.5352657004830919,0.8898187879002801,0.7285767173106658,0.8011654127836203
Uk-1,0.4265486725663717,0.37597503900156004,0.3996683250414593,0.7699673008429195,0.7979622917027733,0.7837148744916105
Ws-0,0.638095238095238,0.5742857142857143,0.6045112781954887,0.8377605186442153,0.8006216442386157,0.8187701491267937
id2-3,0.810958904109589,0.7455919395465995,0.7769028871391077,0.8714888009003597,0.8058461306185833,0.8373829995265349
pme38-1,0.7944444444444444,0.7295918367346939,0.7606382978723404,0.8821843540159957,0.7998198941878354,0.8389855108115422
TOTAL (micro-avg),0.5919206579583938,0.5208599404001703,0.5541213768115942,0.8351961651155686,0.7870956342049469,0.8104328155298772
